aut-479 珍海
aut-48 法立
aut-480 尊辧
aut-481 道範
aut-482 信堅
aut-483 賴寶
aut-484 榮西
aut-485 尊通
aut-486 玄叡
aut-487 澄禪
aut-488 貞海
aut-489 聞證
aut-49 法救
aut-490 聖守
aut-491 實慶
aut-492 護命
aut-493 慚安
aut-494 良遍
aut-495 清範
aut-496 宗禎
aut-497 普機
aut-498 親圓
aut-499 景雅
aut-5 失譯
aut-50 無羅叉
aut-500 實弘
aut-501 壽靈
aut-502 審乘
aut-503 聖詮
aut-504 靈波
aut-505 實英
aut-506 鳳潭
aut-507 豐安
aut-508 實範
aut-509 覺盛
aut-51 曇摩蜱
aut-510 叡尊
aut-511 英心
aut-512 忍仙
aut-513 宗覺
aut-514 義眞
aut-515 蓮剛
aut-516 忠尋
aut-517 證眞
aut-518 惠鎭
aut-519 貞舜
aut-52 月婆首那
aut-520 光定
aut-521 仁空
aut-522 惟賢
aut-523 敬光
aut-524 覺超
aut-525 最圓
aut-526 皇慶
aut-527 長宴
aut-528 靜然
aut-529 光宗
aut-53 僧伽娑羅
aut-530 良祐
aut-531 澄豪
aut-532 了惠
aut-533 了翁
aut-534 覺千
aut-535 眞盛
aut-536 實慧
aut-537 成尊
aut-538 重譽
aut-539 經尋
aut-54 翔公
aut-540 興然
aut-541 德一
aut-542 房覺
aut-543 淳祐
aut-544 元杲
aut-545 仁海
aut-546 寬助
aut-547 眞譽
aut-548 永嚴
aut-549 覺印
aut-55 菩提流支
aut-550 寬信
aut-551 實運
aut-552 成賢
aut-553 深賢
aut-554 教舜
aut-555 榮然
aut-556 興雅
aut-557 恭畏
aut-558 順繼
aut-559 運敞
aut-56 眞諦
aut-560 戒定
aut-561 慧印
aut-562 源空
aut-563 聖覺
aut-564 大玄
aut-565 證空
aut-566 淨音
aut-567 親鸞
aut-568 從覺
aut-57 笈多
aut-570 顯智
aut-571 定專
aut-572 眞慧
aut-573 親鸞
aut-575 隆寬
aut-576 託何
aut-577 永觀
aut-578 日蓮
aut-579 日興
aut-58 菩提流志
aut-580 日向
aut-581 玄昭
aut-582 心覺
aut-583 信範
aut-584 了尊
aut-585 淨嚴
aut-587 長惠
aut-588 宗快
aut-589 聖尊
aut-59 金剛智
aut-590 道氤
aut-591 寶達
aut-592 曇曠
aut-593 知恩
aut-596 體請
aut-597 道掖
aut-598 法成
aut-6 法顯
aut-60 不空
aut-601 法上
aut-602 文軌
aut-603 慧日
aut-604 法照
aut-605 淨覺
aut-607 惠辨
aut-609 隆譽
aut-61 不空
aut-610 蓮惠
aut-611 行宴
aut-613 明達
aut-614 澄舜
aut-615 亮憲
aut-617 覺禪
aut-618 嚴覺
aut-619 雙珠
aut-62 法月
aut-620 智海
aut-621 定眞
aut-622 賢寶
aut-623 幸嚴
aut-624 良慶
aut-625 宗實
aut-626 朗澄
aut-627 圓心
aut-628 良秀
aut-629 信[每/⽔]
aut-63 般若
aut-630 心覺
aut-631 亮尊
aut-632 藏川
aut-633 覺源
aut-634 永範
aut-635 承澄
aut-636 澄圓
aut-638 觀祐
aut-639 尊圓
aut-64 智慧輪
aut-640 兼胤
aut-641 定智
aut-642 隋天
aut-644 慶吉祥
aut-645 如瑩
aut-647 徹定
aut-65 法成
aut-66 竺法護
aut-67 智嚴
aut-68 求那跋陀羅
aut-69 毗尼多流支
aut-7 法賢
aut-70 曇摩伽陀耶舍
aut-71 曇無蜜多
aut-72 佛馱跋陀羅
aut-73 實叉難陀
aut-74 祇多蜜
aut-75 尸羅逹摩
aut-76 地婆訶羅
aut-77 提雲般若
aut-78 曇摩流支
aut-79 吉迦夜
aut-8 施護
aut-80 曼陀羅仙
aut-81 佛陀扇多
aut-82 那連提耶舍
aut-83 康僧鎧
aut-84 月婆首那
aut-85 竺難提
aut-86 道龔
aut-87 僧伽婆羅
aut-88 瞿曇般若流支
aut-89 毗目智仙
aut-9 闍那崛多
aut-90 般若流支
aut-91 康僧鎧
aut-92 支謙
aut-93 畺良耶舍
aut-94 曇無竭
aut-95 慧嚴
aut-96 謝靈運
aut-97 若那跋陀羅
aut-98 波羅頗蜜多羅
aut-99 曇摩蜜多
