aut-207 婆素跋陀
naut-334 蕅益
naut-97 寂正
resp18 提挈
aut-547 眞譽
resp87 入疏箋經加註釋疏
naut-1126 普濟
naut-347 則安
aut-550 寬信
naut-595 覺慈編
naut-827 了南
aut-552 成賢
role-49 嗣法
aut-184 曇曜
naut-712 齊巳
naut-698 慧開
aut-576 託何
aut-322 僧肇
naut-512 俊芿
naut-972 慧啟
aut-4 白法祖
aut-127 菩提金剛
naut-116 道昉參訂
aut-233 世友
naut-935 祖杲
naut-411 正誨
resp5 校輯
naut-550 周夢顏
naut-1054 淨煥
naut-28 菩提流支
aut-271 陳那
date26 新羅
naut-626 天[正*頁]
aut-213 天親
source19 source19 source19 None
resp222 參閱
naut-91 行霆
aut-68 求那跋陀羅
source10 source10 source10 None
aut-433 藏俊
naut-763 若舟
naut-588 覺愛略說
aut-91 康僧鎧
aut-220 大域龍
naut-902 及藏主
naut-1073 通炯
naut-481 揚嘉祚
naut-832 至慧
aut-587 長惠
resp23 注
aut-90 般若流支
naut-277 法照
naut-790 唯道
resp108 證義
resp251 等編次
aut-260 聖天
naut-669 賾藏主
naut-1015 宗榮
naut-1132 曉瑩
naut-486 灌頂阿闍梨
date3 宋
aut-389 如惺
naut-64 靜居
naut-1075 本晳
aut-490 聖守
naut-147 大乘基
naut-1022 中翼
aut-21 眞諦
naut-498 西天竺
aut-215 世親
naut-156 灌頂
aut-496 宗禎
naut-1095 無寄
naut-526 如馨
resp191 刪合
naut-1072 福善
aut-152 彌陀山
naut-67 法藏
naut-96 通潤
aut-283 婆藪跋摩
resp54 解義
resp192 奉詔解釋
ndiv-02 方等部疏
naut-983 文玹
naut-1048 心亮
resp83 分科
naut-1043 弘瀚
naut-373 法悟[束*力]
naut-905 大機
aut-507 豐安
naut-546 虞執西
naut-563 治兆
naut-713 如本
naut-778 行彌
resp110 約意
naut-627 如瑛
naut-1082 正止
naut-959 有端
naut-1146 果性
naut-4 員珂
date29 晉
aut-334 普光
resp29 排訂
naut-962 妙淨
naut-81 普瑞
resp60 會編
naut-475 善熹註
aut-366 弘忍
aut-326 不可思議
naut-536 普度
naut-482 一行撰
ndiv-04 法華部
aut-379 覺岸
aut-483 賴寶
naut-1187 盛熙明
aut-589 聖尊
resp172 緝
aut-315 善導
naut-803 如阜
role-47 參學
date43 朝鮮
date41 南唐
resp40 筆記
aut-228 親光
aut-373 德輝
aut-380 幻輪
aut-130 惟謹
aut-234 菩提耶舍
ndiv-56 感應神異傳二
naut-833 了垠
naut-1188 一然
naut-859 宗清
resp90 定
naut-603 宗賾
aut-272 堅慧
aut-218 三寶尊
naut-390 智素
naut-251 道霈
naut-577 尼量海
aut-151 不空
resp241 訂正
naut-315 可度重訂
aut-625 宗實
naut-818 惠明
aut-632 藏川
resp73 造
resp125 造鈔
aut-229 天親
naut-1068 道傑
aut-124 菩提燈
aut-83 康僧鎧
aut-277 堅意
aut-362 智昇
aut-106 僧伽羅剎
naut-967 普莊
resp78 編定
naut-207 弘贊
role-46 小師
aut-129 法全
aut-22 義淨
naut-1080 讀徹
naut-997 正除
naut-719 覺心
date20 東魏
naut-223 大韻
aut-630 心覺]
naut-847 覺此
naut-87 宗密(於大疏略出)
naut-443 眞覺略解、智旭
naut-846 慧恭
role-63 書記
naut-590 慧海
aut-39 鳩摩羅什
aut-88 瞿曇般若流支
naut-956 慧浩
aut-606 St
resp124 要解
naut-128 元賢
naut-1102 覺岸(編集再治)
resp140 同註
naut-314 師正
aut-199 勝友
resp157 編纂
resp112 集釋
aut-518 惠鎭
date19 前涼
aut-95 慧嚴
aut-101 豆那掘多
date11 蕭齊
naut-722 大觀
naut-445 可觀述智增
resp163 輯著
naut-440 慧觀重編
naut-787 妙儼
naut-14 惟淨
aut-634 永範
aut-178 阿謨伽
naut-511 惟顯
aut-119 嚴佛調
aut-345 惟白
naut-195 大慧
aut-540 興然
resp58 註解
naut-568 照瑩
ndiv-21 三論部疏
naut-293 際慶
aut-597 道掖
naut-1066 普紹
naut-386 如理
aut-585 淨嚴
naut-849 了舜
aut-45 法救
naut-44 伽梵達摩
aut-633 覺源
naut-921 文藻
naut-417 智顗(略出)
naut-196 達默
aut-238 浮陀跋摩
resp61 譯經
naut-647 道泰
naut-1051 潘道靖
aut-502 審乘
aut-442 濟暹
naut-619 超記錄
naut-247 俞樾
aut-624 良慶
naut-978 法林
naut-114 一松
naut-50 法天
resp72 纂要
naut-927 應槐
naut-569 果能
aut-201 弗陀多羅多
naut-341 允堪
aut-515 蓮剛
aut-446 證忍
aut-118 曇景
role-56 門人侍者
naut-366 見登
naut-292 圓澄說、明海
naut-192 古德法師
naut-897 仁安
aut-510 叡尊
resp24 著
naut-606 惟勉
naut-145 慧遠
naut-882 至柔
aut-408 希麟
aut-225 逹磨菩提
resp7 
ndiv-55 居士善女傳
naut-522 濟嶽彙箋
naut-47 婆羅門僧
naut-413 性起論
naut-586 弘忍
naut-66 智儼
aut-37 迦留陀伽
naut-854 道信
naut-961 思靜
naut-697 道果
naut-60 阿謨伽三藏譯
naut-170 嶽玄
aut-416 景淨
nresp-255 日錄
aut-422 常曉
aut-505 實英
naut-236 大璸
resp189 證
naut-681 子和
naut-771 崇嶽
naut-510 道詢集
resp240 依經錄
naut-561 覺明菩薩說
aut-161 阿目佉
naut-941 汝現
aut-17 求那毗地
naut-141 正受
resp154 拈別
resp150 補輯
naut-748 文煥
aut-448 源信
naut-1096 寶成
naut-553 柳子厚
aut-314 ƒ興
aut-393 戒珠
aut-51 曇摩K
aut-611 行宴
aut-196 羅什
naut-598 淨訥
aut-150 支謙
naut-197 達林參訂
naut-1182 趙遷
aut-99 曇摩蜜多
aut-191 愛同
naut-825 了禪
resp15 隨疏鈔
resp173 共集
naut-107 德洪
naut-1113 慧詳
aut-558 順繼
aut-82 那連提耶舍
naut-252 成蓮
naut-509 妙生
naut-194 徐槐廷
naut-368 通潤述
aut-209 山賢
aut-348 繼忠
resp131 等校勘
naut-793 惟衍
naut-1128 超永
aut-410 全眞
aut-628 良秀
resp20 於大疏略出
source22 source22 source22 None
resp243 重纂
naut-235 王錫琯
aut-72 佛馱跋陀羅
naut-548 道霑
naut-862 妙寅、(侍者)
naut-65 靈祐
aut-453 曇寂
naut-1178 彥琮
resp77 構錄
naut-704 法孜
naut-781 元樞
naut-1071 祖祿
aut-30 聖堅
naut-658 本瑞直
aut-557 恭畏
aut-254 青目
naut-199 鄭澄源
naut-861 宗應
naut-676 于[由*頁]
naut-504 寂暹
naut-338 讀體
naut-322 傳奧
naut-1141 如純
naut-759 宗和
aut-246 那連提耶舍
naut-1067 宗敬
naut-1151 道忞
aut-454 賴尊
naut-794 妙源
aut-615 亮憲
aut-89 毗目智仙
resp207 【佛說阿彌陀經要解 即淨土十要$p( fo2 shuo1 a1 mi2 tuo2 jing1 yao4 jie3 ji2 jing4 tu3 shi2 yao4
aut-242 曇摩崛多
naut-540 莊廣還輯
resp176 讚
aut-513 宗覺
naut-664 慧開語、宗紹
naut-117 鍾惺
ndiv-43 淨土宗
aut-387 慧皎
naut-573 沈善登
naut-138 寶臣
naut-1170 淨慧
naut-702 了心
naut-1037 德霑
naut-426 可度
aut-411 禮言
aut-383 曇摩難提
naut-348 法礪
naut-527 周思仁
naut-112 惟則
naut-873 善靖
naut-111 圓澄
naut-767 淨球
naut-1032 唯敬
naut-464 希[廷-壬+由]
naut-309 亮潤
ndiv-05 涅槃部
naut-216 洪蓮
aut-10 達摩笈多
resp121 錄註
aut-386 慧立
naut-242 龔穊綵
naut-249 謝承謨
naut-653 義青
resp223 頌
naut-648 重顯
ndiv-08 華嚴部疏
aut-183 帛尸梨蜜多羅
aut-566 淨音
aut-533 了翁
naut-467 明皛
source16 source16 source16 None
naut-466 義湘
aut-417 法經
naut-812 道準
naut-910 自然
aut-512 忍仙
naut-729 淨志
naut-392 法寶
date36 高齊
naut-54 不空譯抄之
aut-623 幸嚴
naut-12 藏川
resp177 編敘
naut-1145 朱時恩
naut-153 聖德太子
naut-480 圓覺
naut-760 如止
naut-599 開詗記
aut-317 慧淨
aut-519 貞舜
aut-403 復禮
naut-137 曾鳳儀
naut-55 龜玆國
aut-49 法救
naut-468 澄觀撰、宗密
naut-332 德玉順
resp63 次
naut-686 圓淨
naut-335 道宣刪
resp30 會解
source4 source4 source4 None
naut-646 如祐錄
aut-142 𧦪弘
naut-278 有嚴
aut-251 婆藪槃豆
resp138 謹敘
aut-252 安慧
naut-485 不空奉詔
resp88 發隱
naut-804 似藻
naut-890 景用
naut-597 廣輝釋
naut-48 沙囉巴
naut-483 一行修
resp19 撰
aut-110 先公
naut-152 義令記
naut-1127 淨柱
naut-613 行悅
source18 source18 source18 None
resp105 贅言
resp46 纂註
resp16 撰述
naut-401 玄奘
aut-188 慈賢
source21 source21 source21 None
aut-292 求那跋摩
naut-1150 紀蔭
aut-40 慧覺
aut-232 提婆設摩
naut-937 克明
aut-339 大乘光
naut-340 道宣
resp129 編訂
naut-58 提雲般若
aut-27 聖勇
naut-113 傳燈
role-61 弟子
resp118 錄集
naut-928 海壽
naut-419 道邃說乾淑
naut-241 石成金
naut-1111 曇照
resp53 綱
aut-198 義淨
naut-554 了亮
naut-642 普會
aut-554 教舜
aut-581 玄昭
aut-536 實慧
naut-912 壽椿
resp249 上進
aut-487 澄禪
naut-359 玄惲
naut-830 師坦
naut-121 大韶
naut-807 惟份
aut-84 月婆首那
aut-641 定智
aut-543 淳祐
aut-147 沙囉巴
naut-176 守千
aut-484 榮西
aut-436 義天
naut-30 善無畏
aut-626 朗澄
naut-148 道暹私
aut-61 不空
naut-42 解脫師子
ndiv-23 法界無差別論疏
naut-120 函[曰/正]
naut-1078 古崑錄
naut-0 松本文三郎
naut-502 謝于教
source15 source15 source15 None
naut-3 魏源
resp126 註釋
naut-1027 淨覺
aut-158 耶舍崛多
naut-1065 宗先
naut-1091 西宗
aut-282 訶梨跋摩
naut-587 北天竺
date40 北齊
naut-689 智華
aut-349 宗曉
resp230 設問
naut-940 起宗
naut-1056 丁元公．祁駿隹
aut-627 圓心
naut-765 宗坦
aut-594 2330
aut-374 天友
naut-101 徐鍔
naut-717 法宏
naut-848 自悟
resp28 作
naut-952 宗[一/旦]
source11 source11 source11 None
aut-470 藏海
naut-461 淨源刊
role-48 侍者
ndiv-41 眞言宗
ndiv-58 剌麻教
resp75 逗註
resp91 輯錄
naut-518 省悟
naut-1100 熙仲
aut-71 曇無蜜多
aut-491 實慶
aut-327 法崇
aut-593 知恩
aut-204 笈多
naut-932 文康
naut-285 張商英撰
aut-419 恆安
naut-916 景行
aut-58 菩提流志
naut-761 有智
date22 符秦
aut-62 法月
aut-377 志磐
resp218 重校編集
